distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
65.71025,-0.000513027,-0.000354816,0.000909331,-0.000210044
65.89058,-0.00047288,-0.000454301,0.000856978,-0.000518469
66.0709,-0.000425312,-0.000462511,0.000766484,-0.000855276
66.25122,-0.00036714,-0.000383713,0.000617682,-0.001206909
66.43156,-0.000297087,-0.000227174,0.000395802,-0.001560945
66.61192,-0.000217364,-1.09E-05,9.62E-05,-0.001907293
66.79233,-0.000130617,0.000245465,-0.000284793,-0.002235832
66.97277,-3.95E-05,0.000522021,-0.00074801,-0.002537601
67.15326,5.39E-05,0.000798713,-0.001281173,-0.002809867
67.3338,0.000147396,0.001055075,-0.001867872,-0.003051635
67.51438,0.000239102,0.001270582,-0.002490906,-0.003262043
67.69498,0.000330825,0.001431765,-0.003129143,-0.003442052
67.87561,0.000427047,0.001530152,-0.003758402,-0.003593946
68.05627,0.000532442,0.001557244,-0.004353784,-0.003720103
68.23692,0.000652134,0.001510266,-0.004893663,-0.003821549
68.41757,0.000791935,0.001396059,-0.005362481,-0.003896983
68.59821,0.000957868,0.001222588,-0.005744905,-0.003944862
68.77882,0.001154231,0.000999417,-0.006028211,-0.003963306
68.95939,0.00137784,0.000741772,-0.006212,-0.003949089
69.13992,0.001623495,0.000466666,-0.006299254,-0.003898571
69.32041,0.001885187,0.000191258,-0.006293655,-0.003808307
69.50087,0.002149263,-7.05E-05,-0.00620578,-0.003678102
69.68129,0.002396933,-0.000306513,-0.006050995,-0.003509984
69.86168,0.002608862,-0.000504644,-0.005845204,-0.003306141
70.04206,0.002766358,-0.000658427,-0.005603694,-0.003071466
70.22243,0.002851875,-0.000770239,-0.005340546,-0.002815118
70.40282,0.002847555,-0.000843268,-0.005070108,-0.002546881
70.58322,0.002738829,-0.00088291,-0.004804984,-0.002276471
70.76366,0.002524819,-0.000902574,-0.004549711,-0.002012493
70.94413,0.002207966,-0.000917893,-0.004306893,-0.001763443
71.12464,0.001791972,-0.000944713,-0.004078688,-0.00153745
71.30519,0.001292578,-0.00099695,-0.003861741,-0.001336306
71.48578,0.000733078,-0.001087477,-0.003649148,-0.001157791
71.6664,0.000137518,-0.00122933,-0.003433793,-0.000999487
71.84703,-0.000469779,-0.001428814,-0.003209296,-0.000855738
72.02766,-0.001064608,-0.001682588,-0.00297041,-0.000716169
72.20828,-0.001622231,-0.00198648,-0.002711856,-0.000569793
72.38889,-0.002121278,-0.002333147,-0.002430202,-0.000406279
72.56944,-0.002553679,-0.002704765,-0.002128972,-0.000218362
72.74995,-0.002914201,-0.003080907,-0.001813354,6.46E-07
72.93042,-0.003198667,-0.003440765,-0.001489026,0.000256786
73.11083,-0.00341341,-0.003763962,-0.001165437,0.000548332
73.29119,-0.003570708,-0.004030165,-0.00085438,0.000868982
73.4715,-0.003683172,-0.004218813,-0.000567888,0.001212142
73.65177,-0.00376255,-0.004316222,-0.000315498,0.001568161
73.83202,-0.003819335,-0.004317789,-0.000103289,0.001923248
74.01225,-0.003864165,-0.004219459,6.28E-05,0.002262992
74.19249,-0.003904683,-0.004020905,0.000179416,0.002573861
74.37274,-0.003938297,-0.003733976,0.000252516,0.002846073
74.55302,-0.003960273,-0.003373279,0.000290021,0.003070472
